formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
exp(x),1,3,0.0001,additive_gaussian,0.0001001431134266555,8.611911772173325e-06,15.937305985206992,0.0,0
exp(x),1,3,0.0001,multiplicative_gaussian,0.00037294245107722486,4.956595751503321e-05,14.040416174786058,0.0,0
exp(x),1,3,0.0001,1_over_f,8.542368747587982e-05,6.206694624277215e-05,16.166661118388546,0.0,0
exp(x),1,3,0.0001,matched_pairs,6.549597430624143e-05,1.8633175578837286e-05,16.549891059903548,0.0,0
exp(x),1,3,0.001,additive_gaussian,0.0009920536534192912,9.046763160489938e-05,12.628951051237674,0.0,0
exp(x),1,3,0.001,multiplicative_gaussian,0.003790831088390813,0.0005279003976359849,10.694926930185071,0.0,0
exp(x),1,3,0.001,1_over_f,0.0008344345390859188,0.0005777647149106959,12.878570324076541,0.0,0
exp(x),1,3,0.001,matched_pairs,0.0007034401594787631,0.00024547867108686466,13.124941498561295,0.0,0
exp(x),1,3,0.005,additive_gaussian,0.004947224496172139,0.00045195962774269093,10.310821736717719,0.0,0
exp(x),1,3,0.005,multiplicative_gaussian,0.018800201429743483,0.0025196911358097867,8.384764890368118,0.0,0
exp(x),1,3,0.005,1_over_f,0.004231334496596989,0.003371281511293902,10.536328366092137,0.0,0
exp(x),1,3,0.005,matched_pairs,0.003422904967181886,0.0011464926980760545,10.842219866392208,0.0,0
exp(x),1,3,0.01,additive_gaussian,0.01001408265623266,0.0009250829156610525,9.293482741137518,0.0,0
exp(x),1,3,0.01,multiplicative_gaussian,0.037870281774813205,0.004731570912412695,7.374446854052915,0.0,0
exp(x),1,3,0.01,1_over_f,0.008670863949854661,0.006430504163629702,9.50126535637019,0.0,0
exp(x),1,3,0.01,matched_pairs,0.006792935999095395,0.002261386493715499,9.853405842980608,0.0,0
exp(x),1,3,0.02,additive_gaussian,0.019951299521326075,0.001826910718663651,8.299030290750409,0.0,0
exp(x),1,3,0.02,multiplicative_gaussian,0.07423940578124628,0.009602761249126375,6.403327846671724,0.0,0
exp(x),1,3,0.02,1_over_f,0.017647549339288606,0.012407702253612377,8.476045154927146,0.0,0
exp(x),1,3,0.02,matched_pairs,0.013259320231446523,0.004165689411497818,8.888506195349906,0.0,0
exp(x),1,3,0.05,additive_gaussian,0.049196130676581865,0.004321370458688951,6.996968159063484,0.0,0
exp(x),1,3,0.05,multiplicative_gaussian,0.18447610014943,0.023617315895324717,5.090150995188011,0.0,0
exp(x),1,3,0.05,1_over_f,0.04250155834265914,0.029026798168073832,7.207997270309754,0.0,0
exp(x),1,3,0.05,matched_pairs,0.03382756393500981,0.010022046352047731,7.537313723383095,0.0,0
ln(x),3,7,0.0001,additive_gaussian,0.00014263645662847613,1.3152503792483402e-05,13.831565738201517,0.0,0
ln(x),3,7,0.0001,multiplicative_gaussian,0.00024822291722250556,2.3834714904869955e-05,13.032272188646482,0.0,0
ln(x),3,7,0.0001,1_over_f,9.3952980367684e-05,7.636097692281274e-05,14.433897674804262,0.0,0
ln(x),3,7,0.0001,matched_pairs,7.151691681117248e-05,6.717850846370167e-06,14.827552060841615,0.0,0
ln(x),3,7,0.001,additive_gaussian,0.0014316431876813301,0.00013237731918638106,10.504308441837766,0.0,0
ln(x),3,7,0.001,multiplicative_gaussian,0.0024922232885085742,0.00020975556687999366,9.704547081318493,0.0,0
ln(x),3,7,0.001,1_over_f,0.0009809114073750696,0.0007060600258766793,11.04978566436973,0.0,0
ln(x),3,7,0.001,matched_pairs,0.0007140353082581713,6.991134692510875e-05,11.50791309162945,0.0,0
ln(x),3,7,0.005,additive_gaussian,0.007118111353535678,0.0006604267314392957,8.190485910338452,0.0,0
ln(x),3,7,0.005,multiplicative_gaussian,0.01245107495330457,0.001263443703037919,7.3837820159921685,0.0,0
ln(x),3,7,0.005,1_over_f,0.005438462390205908,0.0041692717712743296,8.578781594709811,0.0,0
ln(x),3,7,0.005,matched_pairs,0.0035150227385241893,0.00035696057190394355,9.20844639038094,0.0,0
ln(x),3,7,0.01,additive_gaussian,0.014293330172139846,0.0012022053191000665,7.184710231550988,0.0,0
ln(x),3,7,0.01,multiplicative_gaussian,0.024783627203899747,0.002219915660188454,6.390664969211853,0.0,0
ln(x),3,7,0.01,1_over_f,0.010195090036995083,0.007653480288522916,7.672177801112342,0.0,0
ln(x),3,7,0.01,matched_pairs,0.0070810728174530045,0.0006307056926201009,8.198012460157255,0.0,0
ln(x),3,7,0.02,additive_gaussian,0.028484133909871652,0.0025198432361491926,6.18989377733958,0.0,0
ln(x),3,7,0.02,multiplicative_gaussian,0.04976511941290251,0.005215656461861201,5.384917412233151,0.0,0
ln(x),3,7,0.02,1_over_f,0.01996910435973105,0.014698982388925289,6.702282690064591,0.0,0
ln(x),3,7,0.02,matched_pairs,0.01439179774053596,0.0012873202089256559,7.1748055010557445,0.0,0
ln(x),3,7,0.05,additive_gaussian,0.07114644458771827,0.005775144244858593,4.869260655020316,0.0,0
ln(x),3,7,0.05,multiplicative_gaussian,0.12439738490334616,0.012459768586630986,4.063168065383447,0.0,0
ln(x),3,7,0.05,1_over_f,0.04981198785632875,0.0361249989492152,5.383559331490445,0.0,0
ln(x),3,7,0.05,matched_pairs,0.03541232172641741,0.0032551492619022123,5.875800883780251,0.0,0
sqrt(x),12,43,0.0001,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.0001,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.0001,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.0001,matched_pairs,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.001,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.001,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.001,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.001,matched_pairs,nan,nan,-inf,1.0,1
